"temp","humid","wind","rain","pm_grade","season","press"
23.6,57.5,3.6,0,"Good",0,1006.2
20.2,79,2.7,1,"Good",0,998.5
20.2,93.5,1.7,1,"Good",0,997.9
15.2,78.6,2.2,1,"Good",0,1011.4
9.6,60.4,2,1,"Good",0,1012.9
13.4,63.4,2.2,0,"Moderate",0,1009.2
12.1,71.1,1.5,0,"Moderate",0,1009.2
5.3,60.6,2.9,0,"Good",0,1001
11.9,70.8,2.4,0,"Moderate",0,1007.5
2.9,57.5,2.2,0,"Good",0,1016.4
2.9,50.4,1.4,0,"Moderate",1,1018.6
-5.6,50.5,4.6,0,"Moderate",1,1013.5
-0.3,65.3,2.6,1,"Moderate",1,1012.5
-4.3,46.3,1.5,0,"Good",1,1019.8
-4.8,41.8,1.7,0,"Moderate",1,1014.8
0.3,52.4,1.7,0,"Bad",1,1015.4
-3.6,48.9,2.4,0,"Moderate",1,1011.5
-6.6,48.8,3.1,0,"Good",1,1015.4
2.5,68.3,2.9,1,"Moderate",1,1009.5
3.7,56.6,2.8,0,"Moderate",1,1010.9
1.4,39.5,2.6,0,"Good",1,1011
10.3,62.6,2.1,0,"Bad",1,1006.2
6.2,56.8,2.3,0,"Moderate",1,1007.5
10.8,76.5,1.8,1,"Moderate",1,1010.3
11.7,52.3,2.5,0,"Moderate",1,1010.5
14,53.8,2.3,0,"Moderate",1,1007.7
18.2,44,2.6,0,"Moderate",1,1005.6
18.9,48.1,2.2,0,"Moderate",1,1008.3
15.7,45.5,3.3,0,"Good",1,1001.8
20.1,70.8,2.5,0,"Moderate",1,999.1
23.1,66.4,2.3,0,"Moderate",1,995
22.7,59.8,2.3,0,"Moderate",0,992.9
24.6,58.9,2.5,0,"Good",0,1001.9
23.4,81.6,1.4,0,"Good",0,997.6
26.6,83.3,2.1,0,"Good",0,1004.4
25.8,84.4,2.9,1,"Moderate",0,993
26,76.5,2.3,0,"Good",0,989.9
29.3,66.3,2,0,"Moderate",0,999.6
27.1,90.1,2.8,1,"Moderate",0,1000.1
28.1,83,4.8,1,"Good",0,990.6
26.8,75.6,2.3,1,"Good",0,994.3
21,74,2.3,1,"Good",0,1005.5
24.3,59.1,2,0,"Good",0,1007.2
25.6,83.1,1.4,1,"Good",0,998.1
20.4,71,1.8,0,"Moderate",0,1003.5
11.1,69.1,2.2,0,"Good",0,1011.3
9.4,52.1,2.3,0,"Good",0,1012.4
12.9,58.3,1.9,0,"Good",0,1017
11.1,57.1,1.7,0,"Good",0,1010.5
11.4,76,1.5,0,"Bad",0,1014.8
11,69.6,1.6,0,"Moderate",0,1015.6
12.3,67.1,3,1,"Bad",0,1006.6
-2.5,42,1.7,0,"Good",1,1019
2,73.4,1.7,1,"Moderate",1,1009.1
-0.1,82.4,2.7,1,"Moderate",1,1001.2
-4.5,45.9,2.5,0,"Good",1,1021
6.6,92.9,2.5,1,"Good",1,1003.2
-0.6,62.8,2.6,0,"Good",1,1015.4
0.9,68.4,3.2,0,"Bad",1,1009
4,49.9,2.5,0,"Moderate",1,1015.9
5.7,58.3,1.5,0,"Bad",1,1009
4.3,63.4,2,0,"Moderate",1,1016.3
15.2,52,2.4,0,"Bad",1,1010.8
12.5,36.8,2.3,0,"Moderate",1,1004.4
17.6,40.4,2.6,1,"Moderate",1,1007.7
13.5,81.8,2.2,1,"Moderate",1,994.3
10.2,69.9,3.1,0,"Good",1,1003.2
18.4,95.3,2.5,1,"Good",1,992
17.8,62,2,0,"Moderate",1,1002.5
20.3,61.3,1.9,0,"Moderate",1,997.7
23.2,83.4,1.6,1,"Good",1,999.9
21.5,66.9,2.6,0,"Good",0,1000.3
22,70,2.2,0,"Good",0,994.1
20.5,92.6,2.1,1,"Good",0,991.2
26.5,77.4,2.5,0,"Moderate",0,997.2
24.7,86.4,2,1,"Good",0,992.5
25.2,87.9,1.4,1,"Good",0,1000.5
28.7,76.3,1.7,1,"Moderate",0,1002.4
23.5,93.1,2.3,1,"Good",0,988.9
29.1,68.9,1.9,0,"Moderate",0,999.5
23.9,89.6,2.1,1,"Good",0,995.2
25.5,67.3,1.9,0,"Moderate",0,999.2
20.1,70.9,2.3,0,"Good",0,1001.5
21.1,61.5,1.4,0,"Moderate",0,1003.7
17.5,62.4,1.5,0,"Moderate",0,1013.5
11.6,46.9,3.2,0,"Good",0,1006.6
